,FIT201,LIT301,FIT301
0,2.471022,799.485878238278,0.0
1,2.471022,798.458908452693,0.0
2,0.0,798.917816905386,0.0
3,0.0,798.917816905386,0.0
4,2.465383,798.917816905386,0.0
5,2.465383,799.3756781052562,0.0
6,2.468074,799.3756781052562,0.0
7,2.335565,800.2919002668951,0.0
8,2.335565,800.7256521801982,0.0
9,2.070804,801.1594040935012,0.1851199
10,1.772851,801.5439856388983,0.4642731
11,1.36802,801.8388527920008,0.7883931
12,0.9621632,802.0066930991713,1.186945
13,0.3697177,802.0066930991713,1.186945
14,0.3697177,801.8871927677191,1.888223
15,0.1245635,801.735420539167,2.007622
16,0.06779227,801.4078806580076,2.154822
17,0.03472912,801.0581664658371,2.243731
18,0.01319963,800.66443118419,2.280114
19,0.01319963,800.66443118419,2.280114
20,0.0,800.2501857020818,2.266662
21,0.0,799.4081809235536,2.233738
22,0.0,798.9872254034498,2.229382
23,0.0,798.5723843986747,2.22951
24,0.0,798.1583523730263,2.22951
25,0.0,797.7442965757232,2.219133
26,0.0,797.33024077842,2.144829
27,0.0,797.33024077842,2.144829
28,0.0,796.9181121565988,1.992249
29,0.01384039,796.519782980379,1.71822
30,0.08534905,795.7540315659073,1.027704
31,0.3114087,795.4507812180302,0.6673285
32,0.663826,795.3177536821385,0.4058546
33,1.459648,795.3171032116628,0.2389264
34,1.459648,795.3171032116628,0.2389264
35,2.070291,795.4308190823559,0.1368222
36,2.070291,795.9533015200197,0.03830509
37,2.327748,795.9533015200197,0.03830509
38,2.327748,796.3123777141362,0.01716683
39,2.38862,797.1627503157214,0.0
40,2.448723,797.6031672383059,0.0
41,2.448723,798.053864627148,0.0
42,2.467946,798.5086317975753,0.0
43,2.471022,798.5086317975753,0.0
44,2.471022,798.9669689876893,0.0
45,2.471022,799.4258774403822,0.0
46,2.471022,799.8847858930752,0.0
47,2.471022,800.8026027984612,0.0
48,2.471022,801.2615112511542,0.0
49,2.471022,801.7204197038471,0.1851199
50,2.471022,802.1793281565401,0.4642731
51,2.471022,802.6038568720751,0.7883931
52,2.471022,802.9765423571264,1.186945
53,2.471022,802.9765423571264,1.186945
54,2.471022,803.2890335550824,1.576018
55,2.471022,803.7659809794345,2.007622
56,2.471022,803.7659809794345,2.007622
57,2.471022,804.0182584086812,2.243731
58,2.471022,804.104319227637,2.280114
59,2.471022,804.1465308150373,2.266662
60,2.471022,804.1819854952817,2.25526
61,2.471022,804.2199384278708,2.233738
62,2.471022,804.2600088948961,2.229382
63,2.471022,804.2600088948961,2.229382
64,2.471022,804.304076342814,2.228613
65,2.471022,804.3489527698587,2.225667
66,2.471022,804.3938291969033,2.225667
67,2.471022,804.4388484395927,2.228229
68,2.471022,804.4844148017742,2.228229
69,2.471022,804.5299811639557,2.225795
70,2.471022,804.5750717216094,2.225795
71,2.471022,804.66570486979,2.226435
72,2.471022,804.7112474603168,2.226435
73,2.471022,804.7112474603168,2.226435
74,2.471022,804.7566711925697,2.226435
75,2.471022,804.8020949248225,2.226435
76,2.471022,804.8475186570754,2.226435
77,2.471022,804.8929423893283,2.226435
78,2.471022,804.9383661215811,2.223873
79,2.471022,805.0292135860868,2.223873
80,2.471022,805.0751131228674,2.22477
81,2.471022,805.0751131228674,2.22477
82,2.471022,805.166745609129,2.226435
83,2.471022,805.166745609129,2.226435
84,2.471022,805.21247855861,2.233738
85,2.471022,805.2579022908628,2.245652
86,2.471022,805.3473934710336,2.281779
87,2.471022,805.3892482978961,2.299715
88,2.471022,805.4243937609122,2.31291
89,2.471022,805.4243937609122,2.31291
90,2.471022,805.4562082208018,2.319956
91,2.471022,805.4855721573723,2.3238
92,2.471022,805.5149360939428,2.325337
93,2.471022,805.5429914752038,2.326234
94,2.471022,805.5973890071373,2.325465
95,2.471022,805.5973890071373,2.325465
