FIT201,LIT301,FIT301
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.0,798.0,0.0
0.08534905,798.0,0.0
0.08534905,798.0158506886925,0.0
0.3114087,798.0317013773849,0.0
0.663826,798.0475520660774,0.0
1.018165,798.1708352106699,0.0
1.831545,798.359924795763,0.0
1.831545,798.7000721040378,0.0
2.070291,799.0402194123125,0.0
2.234325,799.0402194123125,0.0
2.38862,799.8396557054726,0.0
2.426809,799.8396557054726,0.0
2.426809,800.2832607839671,0.0
2.467946,801.1846555616512,0.0
2.471022,801.1846555616512,0.0
2.471022,802.1019012044582,0.4642731
2.471022,802.5608096571511,0.7883931
2.471022,802.9334951422024,1.186945
2.471022,803.2459863401584,1.576018
2.471022,803.4844600523345,1.888223
2.471022,803.6506766626253,2.007622
2.471022,803.7589117925922,2.154822
2.471022,803.8449726115481,2.243731
2.471022,803.9036960275038,2.280114
2.471022,803.9459076149041,2.266662
2.471022,803.9813622951484,2.25526
2.471022,804.0193152277376,2.233738
2.471022,804.0593856947629,2.229382
2.471022,804.0593856947629,2.229382
2.471022,804.1483295697254,2.225667
2.471022,804.1932059967701,2.225667
2.471022,804.2387723589516,2.228229
2.471022,804.284338721133,2.228229
2.471022,804.3294292787868,2.225795
2.471022,804.3745198364406,2.225795
2.471022,804.4200624269674,2.225795
2.471022,804.4656050174942,2.226435
2.471022,804.511147608021,2.226435
2.471022,804.5565713402739,2.226435
2.471022,804.6019950725267,2.226435
2.471022,804.6474188047796,2.226435
2.471022,804.6928425370324,2.226435
2.471022,804.7382662692853,2.223873
2.471022,804.7836900015382,2.223873
2.471022,804.7836900015382,2.223873
2.471022,804.8754890750993,2.22477
2.471022,804.9213886118798,2.226435
2.471022,804.9671215613608,2.226435
2.471022,805.0125452936137,2.233738
2.471022,805.0579690258666,2.245652
2.471022,805.0579690258666,2.245652
